WEAVELISTNO,WARPTOTAL,TEXTILENO,TEXTILESUFFIX,TOTALLENGTH,THEORYLENGTH,WRAPNO,YARNSPEC,FIRMABBR,YARNBATCHNO,DENIM,FIBERBASE,UNITWEIGHT,GRANULARITY,WARPLENGTH,WARPOPNO,WARPMACHINE,WARPSPEED,WARPPRES,OILWAX,SSTENSION,WARPTENSION,TRACFORCE,OILWAXSPEED,REEDSLIGHT,PROCESSWAY,ROLLQUANTITY,REEDTYPE,EXTRAATTACH,PRESROLLER,TENSWASHER,TENSSETTING,WARPSCALING,HYDRATENSION,REMARK,WARPCOND,GROUPTYPE,OTHER
AG4-17000893-1-A-A01,21120,S24011Z,AA-01-A,8480,9000,A,0020/24N(F)F,力鵬尼龍,A2065-1,20,21120,0.02,1320,8480,AR1-17060081-1-1,A2,80,0.50,無,3,5,0,0,2,上漿,1,Z,無,0.50,無, ,不要,6,上漿 - 注意滾桶壓力 面板張力 :11, 導紗棍 : 4.5,1,1
AG4-17000471-1-A-A01,21120,S24011,AA-01-A,5360,4500,A,0020/24N(F)F,力鵬尼龍,A2065-1,20,21120,0.01,1320,5360,AR1-17040031-1-1,A2,150,2,無,3,0,0,0,2,上漿,1,直,PE袋+塑膠夾,2,無, ,不要,6,上漿  (塑膠袋要夾滿,預防糾結),1,1
AG3-17000297-1-A-A01,16200,04761,AB-06-A,24000,24750,A,0040/34N(F)F,力鵬尼龍,A4011,40,16200,0.11,1080,24000,AR1-17030109-1-1,A3,150,2,無,4,0,0,0,2,上漿,1,直,無,2,無, ,不要,4,上漿,1,1
AG4-17000136-1-A-A01,16200,S23193,AA-01-A,5440,4500,A,0040/34N(F)F,力鵬尼龍,A4011,40,16200,0.02,1013,5440,AR1-17010079-1-1,A3,150,2,無,4,0,0,0,2,上漿,1,直,無,2,無, ,不要,4,上漿,1,1
AG3-16001523-1-A-A01,7524,11077,AF-07-A,116030,116087,A,0070/48N(F)F,力鵬尼龍,A70K5,69,7522,0.89,940,38677,AR1-17010056-1-1,A1,200,4,無,6,6,0,0,2,上漿,3,Z,無,4,無, ,不要,6,上漿,1,1
AG4-17000148-1-A-A01,11880,S23699,AA-01-A,2940,2250,A,0040/34N(F)F,力鵬尼龍,A4011,40,11880,0.01,990,2940,AR1-17010079-2-1,A3,150,2,無,4,0,0,0,2,上漿,1,直,無,2,無, ,不要,4,上漿,1,1
AG3-16001096-1-A-A01,7524,11077,AD-07-A,266400,266087,A,0070/48N(F)F,力鵬尼龍,A703D,69,7522,2.04,940,44400,AR1-16100068-1-1,A1,250,4,無,6,6,0,0,2,上漿,6,Z,無,4,無, ,不要,6,上漿,1,1
AG4-16001683-1-A-A01,16200,S23193,AA-01-A,9450,9000,A,0040/34N(F)F,力鵬尼龍,A4011,40,16200,0.04,1080,9450,AR1-16100070-1-1,A3,150,2,無,4,0,0,0,2,上漿,1,直,無,2,無, ,不要,4,上漿,1,1
AG4-16001337-1-A-A01,13200,S22570,AB-01-A,10500,4500,A,0020/24DN(SOL)F淺灰,力鵬尼龍,A20B1,20,13200,0.01,1320,10500,AR1-16080099-1-1,A2,150,2,無,3,0,0,0,2,上漿,1,直,無,2,無, ,不要,0,上漿,1,1
AG3-16000802-1-A-A01,10000,11113,AA-01-A,32400,31500,A,0040/34DN(SOL)F深灰,力鵬尼龍,A402A,40,34,0.14,833,32400,AR1-16080007-2-1,A1,250,2,無,5,4,0,0,2,上漿,1,Z,PE袋+塑膠夾,2,無, ,不要,4,上漿,1,1
AG3-16000801-1-A-A01,10000,11122,AB-02-A,5400,4500,A,0040/34DN(SOL)F卡布里藍,力鵬尼龍,A40E1,40,10000,0.02,833,5400,AR1-16080033-1-1,A2,250,2,無,5,4,0,0,2,上漿,1,Z,PE袋+塑膠夾,2,無, ,不要,4,上漿,1,1
AG3-16000354-2-A-A01,10800,11248Y,AA-04-A,4400,6750,A,0040/34DN(SOL)F陽光橘,力鵬尼龍,A4049,40,10800,0.03,982,4400,AR1-16080028-1-2,A2,150,2,無,5,4,0,0,2,上漿,1,Z,PE袋,2,無, ,不要,4,上漿,1,1
